"daily_product_id","product_id","product_category","product_name","product_price"
"1","101","Home and Garden","Fashionoma Hobby Toolkit","199.00"
"2","102","Electronics","Samsung EVO 32 GB","749.00"
"3","103","Fashion","Nova NHT Trimmer","349.00"
"4","104","Mobiles","Cases and Safeguard","299.00"
"5","105","Fashions","Womens Bag","180.00"
"6","106","Home and Garden","Insects Repellents","99.00"
"7","107","Home and Garden","Pressure Cookers and pans","499.00"
"8","108","Electronis","Mitashi TV","6999.00"
"9","109","Home and Garden","Water Gas Graysers","2499.00"
"10","110","Office","HP Deskjet Ink Advantage","3999.00"
